term,estimate,std.error,statistic,p.value,model,outcome
surg_cont,-0.516155403813449,0.14528048948362712,-3.552819829063275,3.811254036518913e-4,Proportional Hazards,(3) PE (w/ or w/out DVT)
siteNC,0.18213048278321425,0.1792729601099365,1.0159395073943411,0.309658193955549,Proportional Hazards,(3) PE (w/ or w/out DVT)
siteSC,0.28723298305618256,0.17829660156360722,1.6109840599160963,0.10718319676272364,Proportional Hazards,(3) PE (w/ or w/out DVT)
age,0.03362846298261788,0.004169858732112806,8.064652819923909,7.344428189843097e-16,Proportional Hazards,(3) PE (w/ or w/out DVT)
bmi,0.06151011611428147,0.004981681472158501,12.34725994788059,5.039886365061175e-35,Proportional Hazards,(3) PE (w/ or w/out DVT)
GENDERM,0.18434369182207336,0.09645900019601339,1.9111092945963606,0.05599053695982049,Proportional Hazards,(3) PE (w/ or w/out DVT)
diabetes,-0.0831319108372379,0.09959800602371219,-0.8346744493805021,0.40390103145349526,Proportional Hazards,(3) PE (w/ or w/out DVT)
raceethHispanic,-0.8489799403113919,0.1248853867978588,-6.798072713547843,1.060279419210537e-11,Proportional Hazards,(3) PE (w/ or w/out DVT)
raceethOther,-0.45953899201594983,0.2442170942803069,-1.881682334196071,0.05987915972819807,Proportional Hazards,(3) PE (w/ or w/out DVT)
raceethUnknown,-0.8642553198548759,0.45589933357610984,-1.8957152516008082,0.057997707465355215,Proportional Hazards,(3) PE (w/ or w/out DVT)
raceethWhite,-0.24874268258006513,0.09733406347646743,-2.5555563355289683,0.010601819807728839,Proportional Hazards,(3) PE (w/ or w/out DVT)
insulin,0.21591415360861804,0.12274807446396716,1.7590023676664672,0.07857710641283282,Proportional Hazards,(3) PE (w/ or w/out DVT)
elix_cat,0.22749637376624673,0.04054528628192725,5.610920396131263,2.0125333183445575e-8,Proportional Hazards,(3) PE (w/ or w/out DVT)
util_count,0.023046827911774457,0.0068437390029485,3.3675784394824455,7.583145120239676e-4,Proportional Hazards,(3) PE (w/ or w/out DVT)
dysl,-0.13875358939929153,0.09169303261546767,-1.5132402696416567,0.13021863870337122,Proportional Hazards,(3) PE (w/ or w/out DVT)
"Smoking2Never, Self-Report",-0.08922145744079707,0.08287047855152133,-1.0766374105747112,0.28164228419159737,Proportional Hazards,(3) PE (w/ or w/out DVT)
Smoking2No Self-Report,-0.0497125347782906,0.1285344318628997,-0.3867643405567475,0.6989306787652272,Proportional Hazards,(3) PE (w/ or w/out DVT)
htn_dx,0.19134256582160625,0.09598334987912557,1.993497477037102,0.046206999535022275,Proportional Hazards,(3) PE (w/ or w/out DVT)
ht_index,-0.03647312518924918,0.2390803154065951,-0.15255595228415472,0.8787484632749876,Proportional Hazards,(3) PE (w/ or w/out DVT)
oc_index,0.4939376766821974,0.15932657281570256,3.1001587993331703,0.0019341691444021251,Proportional Hazards,(3) PE (w/ or w/out DVT)
surg_cont:GENDERM,0.48844713034113846,0.25513831008419136,1.9144405643353173,0.0555638866527937,Proportional Hazards,(3) PE (w/ or w/out DVT)
surg_cont,2.24390135807456,0.49435869814186345,4.539014619361748,5.651771799469812e-6,Interaction with log(t),(3) PE (w/ or w/out DVT)
tt(surg_cont),-0.4565278676269165,0.08369422108858111,-5.454711946524146,4.9052296330410417e-8,Interaction with log(t),(3) PE (w/ or w/out DVT)
siteNC,0.17909640417535813,0.17930439820733995,0.9988399948129476,0.3178722080526739,Interaction with log(t),(3) PE (w/ or w/out DVT)
siteSC,0.2909766397230098,0.17847352790509932,1.6303630187538645,0.10302479578611973,Interaction with log(t),(3) PE (w/ or w/out DVT)
age,0.033521149875719566,0.004170403334050669,8.037867609117036,9.141531927763753e-16,Interaction with log(t),(3) PE (w/ or w/out DVT)
bmi,0.061750186222586094,0.004981030395005743,12.39707075156583,2.7105212424636266e-35,Interaction with log(t),(3) PE (w/ or w/out DVT)
GENDERM,0.18665649999651932,0.09645694049183882,1.935127726887753,0.052974623821062654,Interaction with log(t),(3) PE (w/ or w/out DVT)
diabetes,-0.08169582081559378,0.09960759739016598,-0.82017660254959035,0.41211543816620044,Interaction with log(t),(3) PE (w/ or w/out DVT)
raceethHispanic,-0.8473981409521942,0.12489910392354514,-6.7846614934156335,1.1635901153772768e-11,Interaction with log(t),(3) PE (w/ or w/out DVT)
raceethOther,-0.457781678205737,0.2442163664688844,-1.8744922169827753,0.06086261379862914,Interaction with log(t),(3) PE (w/ or w/out DVT)
raceethUnknown,-0.8607283087351575,0.4558682545875327,-1.8881075838762673,0.05901150894946698,Interaction with log(t),(3) PE (w/ or w/out DVT)
raceethWhite,-0.2480023103219869,0.09736544477721094,-2.5471286131281925,0.010861339498089533,Interaction with log(t),(3) PE (w/ or w/out DVT)
insulin,0.21763244951594798,0.12274905520193344,1.7729867586998749,0.07623090102526121,Interaction with log(t),(3) PE (w/ or w/out DVT)
elix_cat,0.22879454122684437,0.04057488861979475,5.638821177570043,1.7121822656843857e-8,Interaction with log(t),(3) PE (w/ or w/out DVT)
util_count,0.02346724619582308,0.0068583699935013025,3.421694399406803,6.223221871497969e-4,Interaction with log(t),(3) PE (w/ or w/out DVT)
dysl,-0.1423953893721832,0.09172189877699087,-1.5524688353693803,0.12055008401097142,Interaction with log(t),(3) PE (w/ or w/out DVT)
"Smoking2Never, Self-Report",-0.09154338599770626,0.0828724056153346,-1.1046304897026809,0.2693197340069856,Interaction with log(t),(3) PE (w/ or w/out DVT)
Smoking2No Self-Report,-0.031337946451887054,0.12849229142561255,-0.24388970034073512,0.8073162462970606,Interaction with log(t),(3) PE (w/ or w/out DVT)
htn_dx,0.19314892248814466,0.0959631083122899,2.012741415790596,0.04414183993276106,Interaction with log(t),(3) PE (w/ or w/out DVT)
ht_index,-0.039944913697384836,0.23913903277265988,-0.16703636053993287,0.8673414392416843,Interaction with log(t),(3) PE (w/ or w/out DVT)
oc_index,0.4988164640537249,0.15936127820701715,3.1300982877769146,0.0017474782371844561,Interaction with log(t),(3) PE (w/ or w/out DVT)
surg_cont:GENDERM,1.0853442433824885,0.7218178517021347,1.5036262137644754,0.13267763760922002,Interaction with log(t),(3) PE (w/ or w/out DVT)
tt(surg_cont):GENDERM,-0.11843552276596003,0.13007491863119328,-0.9105177540165533,0.36254952302469534,Interaction with log(t),(3) PE (w/ or w/out DVT)
surg_cont,-0.20281582310566446,0.21910214517019846,-0.9256679022841935,0.35461859351735264,NCS with df = 1,(3) PE (w/ or w/out DVT)
tt(surg_cont),-1.463684037204673,0.8327617108704263,-1.7576264831806314,0.07881108417298023,NCS with df = 1,(3) PE (w/ or w/out DVT)
siteNC,0.18143409550187414,0.1793062952544872,1.0118668463054628,0.31160172307984224,NCS with df = 1,(3) PE (w/ or w/out DVT)
siteSC,0.29083105792375247,0.17842072271423554,1.630029592412071,0.10309524278473817,NCS with df = 1,(3) PE (w/ or w/out DVT)
age,0.03357978789829821,0.004170433535372611,8.051869814848397,8.153861376369493e-16,NCS with df = 1,(3) PE (w/ or w/out DVT)
bmi,0.06159806766455669,0.004981585925066266,12.36515210038002,4.0344692587329784e-35,NCS with df = 1,(3) PE (w/ or w/out DVT)
GENDERM,0.18639533198332014,0.09646190962964649,1.9323205677656794,0.053319951330740495,NCS with df = 1,(3) PE (w/ or w/out DVT)
diabetes,-0.08274627581157079,0.09960856607664834,-0.8307144563038675,0.40613495772691804,NCS with df = 1,(3) PE (w/ or w/out DVT)
raceethHispanic,-0.8481438336504611,0.12489628594547596,-6.790785068026139,1.1152497256501344e-11,NCS with df = 1,(3) PE (w/ or w/out DVT)
raceethOther,-0.458689836023466,0.24421355550133633,-1.87823249647973,0.060349366450408726,NCS with df = 1,(3) PE (w/ or w/out DVT)
raceethUnknown,-0.8599234457678887,0.4558751752029456,-1.8863133869596422,0.0592527363558186,NCS with df = 1,(3) PE (w/ or w/out DVT)
raceethWhite,-0.24874827148101,0.09735110801027087,-2.555166310534095,0.010613707264166,NCS with df = 1,(3) PE (w/ or w/out DVT)
insulin,0.2172392746133489,0.12275139452364434,1.7697499523844866,0.07676880446961111,NCS with df = 1,(3) PE (w/ or w/out DVT)
elix_cat,0.22855730082766074,0.040565917561681576,5.634219920703955,1.758524979604265e-8,NCS with df = 1,(3) PE (w/ or w/out DVT)
util_count,0.023085563598306127,0.00685392599627405,3.368224811714624,7.565387960695744e-4,NCS with df = 1,(3) PE (w/ or w/out DVT)
