model,n_param,log_lik,aic,bic,outcome
Proportional Hazards,20,-3694.442140474033,7428.884280948066,7508.962022290197,(1) Any VTE
Interaction with log(t),21,-3680.3693318821433,7402.738663764287,7486.820292173524,(1) Any VTE
NCS with df = 1,21,-3688.743583382391,7419.487166764782,7503.568795174019,(1) Any VTE
NCS with df = 2,22,-3685.1580070622326,7414.316014124465,7502.401529600809,(1) Any VTE
NCS with df = 3,23,-3678.7268024802815,7403.453604960563,7495.543007504013,(1) Any VTE
NCS with df = 4,24,-3678.855700900361,7405.711401800722,7501.804691411279,(1) Any VTE
NCS with df = 5,25,-3678.3564152531803,7406.712830506361,7506.8100071840245,(1) Any VTE
NCS with df = 6,26,-3677.3564075152995,7406.712815030599,7510.813878775369,(1) Any VTE
NCS with df = 7,27,-3677.419018760048,7408.838037520096,7516.942988331973,(1) Any VTE
NCS with df = 8,28,-3675.66831627694,7407.33663255388,7519.445470432863,(1) Any VTE
