term,estimate,std.error,statistic,p.value,model,outcome
surg_cont,-0.1909862532085209,0.10258890109801791,-1.8616658445931134,0.06265020582109163,Proportional Hazards,(1) Any VTE
siteNC,-0.019865901780464667,0.15055527626673323,-0.1319508839083725,0.8950231409144984,Proportional Hazards,(1) Any VTE
siteSC,-0.015546522914767439,0.15048941082198763,-0.10330642421849374,0.9177197771127358,Proportional Hazards,(1) Any VTE
age,0.03506385906568449,0.0036788748845260994,9.53113660189107,1.555704933287944e-21,Proportional Hazards,(1) Any VTE
bmi,0.0469357103654749,0.004723103026249842,9.937473331540259,2.859889653349281e-23,Proportional Hazards,(1) Any VTE
GENDERM,0.22068046735942798,0.08024225880251201,2.7501776576673276,0.0059562961770805835,Proportional Hazards,(1) Any VTE
diabetes,-0.17993314496231513,0.0887726437872588,-2.0268985724196744,0.042672786564497175,Proportional Hazards,(1) Any VTE
raceethHispanic,-0.47103298680640726,0.10654969081800368,-4.420782295942776,9.83442160314391e-6,Proportional Hazards,(1) Any VTE
raceethOther,-0.5579537331022575,0.23707968955735867,-2.353443832088649,0.018600417744557802,Proportional Hazards,(1) Any VTE
raceethUnknown,-0.9627879097196888,0.4547091467297359,-2.117370887839074,0.03422838293669717,Proportional Hazards,(1) Any VTE
raceethWhite,-0.16606537086043624,0.09024481913949232,-1.8401651468074562,0.06574399520036536,Proportional Hazards,(1) Any VTE
insulin,0.18931882311348647,0.11291055772749023,1.676714976206279,0.09359823064192621,Proportional Hazards,(1) Any VTE
elix_cat,0.16223482209738851,0.036213729419789474,4.4799258374293025,7.466897891335996e-6,Proportional Hazards,(1) Any VTE
util_count,0.030972404315365718,0.005954444654491807,5.201560533777287,1.9762208222368698e-7,Proportional Hazards,(1) Any VTE
dysl,-0.13019538486420631,0.08080671363715024,-1.6111951470867643,0.10713719521811624,Proportional Hazards,(1) Any VTE
"Smoking2Never, Self-Report",-0.022135359552080302,0.07350072273619072,-0.3011583931157885,0.7632937152945094,Proportional Hazards,(1) Any VTE
Smoking2No Self-Report,-0.0719445177453096,0.11692269126714482,-0.6153169839456643,0.5383454034386115,Proportional Hazards,(1) Any VTE
htn_dx,0.17618246327735995,0.08445226289743821,2.0861781227972793,0.036962491172063724,Proportional Hazards,(1) Any VTE
ht_index,-0.1799769939156166,0.22577071086886014,-0.79716714902030406,0.42535396220178634,Proportional Hazards,(1) Any VTE
oc_index,0.2756953035498656,0.15205114579511628,1.8131747847619353,0.06980486760925399,Proportional Hazards,(1) Any VTE
surg_cont,3.4301939719223578,0.35983034658774804,9.532809015278183,1.530838446476228e-21,Interaction with log(t),(1) Any VTE
tt(surg_cont),-0.6204165773713161,0.06322584340454038,-9.812705437580018,9.927067788859991e-23,Interaction with log(t),(1) Any VTE
siteNC,-0.024003494541501327,0.15057455838856784,-0.15941268430991298,0.8733437460661067,Interaction with log(t),(1) Any VTE
siteSC,-0.01052620624891906,0.15067689547911656,-0.06985945798423997,0.9443055220956842,Interaction with log(t),(1) Any VTE
age,0.03490373975156303,0.0036794492476399303,9.48613159264283,2.3976729915431407e-21,Interaction with log(t),(1) Any VTE
bmi,0.04733397155260063,0.004724375049933574,10.019096928654331,1.2564571525633754e-23,Interaction with log(t),(1) Any VTE
GENDERM,0.21947007347990716,0.08022929118638049,2.7355354912715946,0.006227886992610707,Interaction with log(t),(1) Any VTE
diabetes,-0.1780727021500012,0.0887778456053734,-2.0058236481830454,0.04487506664910508,Interaction with log(t),(1) Any VTE
raceethHispanic,-0.46975967496826126,0.10655269093417918,-4.408707756225941,1.0398923521420242e-5,Interaction with log(t),(1) Any VTE
