term,estimate,std.error,statistic,p.value,model,outcome
surg_cont,-0.4430503550258607,0.12911416691137215,-3.431461981472442,6.00337272339353e-4,Proportional Hazards,(3) PE (w/ or w/out DVT)
siteNC,0.1826874691931672,0.17959033453168238,1.0172455531616509,0.30903663061800496,Proportional Hazards,(3) PE (w/ or w/out DVT)
siteSC,0.2892005253838732,0.17849169392081787,1.6202464049232888,0.1051793567005814,Proportional Hazards,(3) PE (w/ or w/out DVT)
age,0.034443409191141035,0.004702004485799657,7.325260810610082,2.3843454155244513e-13,Proportional Hazards,(3) PE (w/ or w/out DVT)
bmi,0.06178640950867201,0.0049757391675839145,12.417533843252848,2.0993351026557525e-35,Proportional Hazards,(3) PE (w/ or w/out DVT)
GENDERM,0.24245511075566126,0.09007341241595292,2.6917500320296512,0.007107819705474576,Proportional Hazards,(3) PE (w/ or w/out DVT)
diabetes,-0.08327002093090548,0.09962114230017406,-0.8358669556307626,0.40322975401596395,Proportional Hazards,(3) PE (w/ or w/out DVT)
raceethHispanic,-0.8469194063006371,0.12492974027216178,-6.779165669084137,1.208718615323384e-11,Proportional Hazards,(3) PE (w/ or w/out DVT)
raceethOther,-0.461049094554722,0.24421693431425154,-1.8878670140108174,0.05904380584723336,Proportional Hazards,(3) PE (w/ or w/out DVT)
raceethUnknown,-0.8554952221110194,0.45581534917590133,-1.8768460159530074,0.06053920155795501,Proportional Hazards,(3) PE (w/ or w/out DVT)
raceethWhite,-0.25044584128652686,0.09734120067653507,-2.572865750020474,0.010086032269784079,Proportional Hazards,(3) PE (w/ or w/out DVT)
insulin,0.21251249099505953,0.1228170384310878,1.7303176636546203,0.08357353536519041,Proportional Hazards,(3) PE (w/ or w/out DVT)
elix_cat,0.22965968303854203,0.0407998099865742,5.628940015017596,1.813204368502943e-8,Proportional Hazards,(3) PE (w/ or w/out DVT)
util_count,0.023245226477077274,0.0068213237749406505,3.407729532275357,6.550578904544021e-4,Proportional Hazards,(3) PE (w/ or w/out DVT)
dysl,-0.1387036002904176,0.09162703869154208,-1.513784601915996,0.13008047923644162,Proportional Hazards,(3) PE (w/ or w/out DVT)
"Smoking2Never, Self-Report",-0.08536835465605318,0.08286882437843536,-1.030162492304745,0.30293373359900805,Proportional Hazards,(3) PE (w/ or w/out DVT)
Smoking2No Self-Report,-0.04726579140542572,0.12854488247616538,-0.36769874066507224,0.7130978796745384,Proportional Hazards,(3) PE (w/ or w/out DVT)
htn_dx,0.19210096459005851,0.09591858654371349,2.002750160444778,0.04520411184153355,Proportional Hazards,(3) PE (w/ or w/out DVT)
ht_index,-0.03947311734011046,0.23923658460497443,-0.1649961581138945,0.8689470059939124,Proportional Hazards,(3) PE (w/ or w/out DVT)
oc_index,0.496753487493477,0.15954891024817683,3.1134871853451185,0.0018489053884354339,Proportional Hazards,(3) PE (w/ or w/out DVT)
age_over_65,-0.12064873349185619,0.16009691734360543,-0.7535981047837155,0.45109058269612884,Proportional Hazards,(3) PE (w/ or w/out DVT)
surg_cont:age_over_65,0.6526072090612929,0.37940255684998564,1.7200917528853958,0.0854157646135145,Proportional Hazards,(3) PE (w/ or w/out DVT)
surg_cont,2.558011444386777,0.4367756347116352,5.856579994613501,4.7249605045368755e-9,Interaction with log(t),(3) PE (w/ or w/out DVT)
tt(surg_cont),-0.5004284032646974,0.07475474283050179,-6.6942696117537865,2.1675147337855895e-11,Interaction with log(t),(3) PE (w/ or w/out DVT)
siteNC,0.18733972063905732,0.1794478217835305,1.0439787943764895,0.2964952007684635,Interaction with log(t),(3) PE (w/ or w/out DVT)
siteSC,0.2976958949633989,0.17865462682024305,1.6663206560159878,0.09564956469667801,Interaction with log(t),(3) PE (w/ or w/out DVT)
age,0.03279501303097327,0.004204513109916566,7.7999549944616655,6.192925772937636e-15,Interaction with log(t),(3) PE (w/ or w/out DVT)
bmi,0.06206485235817855,0.004980363051548327,12.461913261299983,1.2044585266224065e-35,Interaction with log(t),(3) PE (w/ or w/out DVT)
GENDERM,0.24261027886677392,0.09005344419529916,2.6940699607293674,0.007058534711328631,Interaction with log(t),(3) PE (w/ or w/out DVT)
diabetes,-0.07948343004918901,0.09961384570706032,-0.7979154853927647,0.4249195364121643,Interaction with log(t),(3) PE (w/ or w/out DVT)
raceethHispanic,-0.8473757000332716,0.12489459612424222,-6.784726692180677,1.1630647740284559e-11,Interaction with log(t),(3) PE (w/ or w/out DVT)
raceethOther,-0.4569782903201484,0.24420679875509066,-1.871275872128529,0.06130685304542154,Interaction with log(t),(3) PE (w/ or w/out DVT)
raceethUnknown,-0.8513436110751657,0.45578969508922795,-1.8678430430694617,0.06178395184124528,Interaction with log(t),(3) PE (w/ or w/out DVT)
raceethWhite,-0.2485607004539526,0.09737869447255844,-2.5525162541997073,0.010694791924039083,Interaction with log(t),(3) PE (w/ or w/out DVT)
insulin,0.21395800687543548,0.12280327437829246,1.742282589439294,0.08145900842402438,Interaction with log(t),(3) PE (w/ or w/out DVT)
elix_cat,0.22757111156378496,0.04062841249555169,5.601279931592237,2.1277479778130304e-8,Interaction with log(t),(3) PE (w/ or w/out DVT)
util_count,0.02359267211978836,0.0068434929864387775,3.4474605536295773,5.658830348837608e-4,Interaction with log(t),(3) PE (w/ or w/out DVT)
dysl,-0.14135006555873486,0.09172425518714886,-1.5410325793361024,0.12330885703006333,Interaction with log(t),(3) PE (w/ or w/out DVT)
"Smoking2Never, Self-Report",-0.08894347510362072,0.08288019205950933,-1.0731572031078047,0.28320058893058364,Interaction with log(t),(3) PE (w/ or w/out DVT)
Smoking2No Self-Report,-0.029903621169103636,0.12850367374712468,-0.23270635225533964,0.8159894362346901,Interaction with log(t),(3) PE (w/ or w/out DVT)
htn_dx,0.1940869703831465,0.09603199619229759,2.0210656664316384,0.043272967900655754,Interaction with log(t),(3) PE (w/ or w/out DVT)
ht_index,-0.03452165606524643,0.2391178090992734,-0.14437091154057136,0.8852075853752704,Interaction with log(t),(3) PE (w/ or w/out DVT)
oc_index,0.4959182402040483,0.15933699982219146,3.112385954031123,0.0018558170236340893,Interaction with log(t),(3) PE (w/ or w/out DVT)
surg_cont:age_over_65,0.2631909092719523,1.1469435412220752,0.22947154747610404,0.818502432476215,Interaction with log(t),(3) PE (w/ or w/out DVT)
tt(surg_cont):age_over_65,0.05009347879125255,0.2010263486503517,0.24918862192727248,0.8032148802716198,Interaction with log(t),(3) PE (w/ or w/out DVT)
surg_cont,-0.06066086795795425,0.19203967295154936,-0.3158767510151857,0.7520960591289402,NCS with df = 1,(3) PE (w/ or w/out DVT)
tt(surg_cont),-1.7955795604128464,0.7564638020158245,-2.373649017478413,0.01761328417225577,NCS with df = 1,(3) PE (w/ or w/out DVT)
siteNC,0.18952632130796176,0.17944302210335772,1.0561922056729303,0.29088041102830536,NCS with df = 1,(3) PE (w/ or w/out DVT)
siteSC,0.2973262240516815,0.17859420140059243,1.6648145444810352,0.09594976128833207,NCS with df = 1,(3) PE (w/ or w/out DVT)
age,0.032848797532245254,0.00420376714663802,7.814133463247653,5.534243109825389e-15,NCS with df = 1,(3) PE (w/ or w/out DVT)
bmi,0.06190159620568156,0.00498053572885757,12.428702367703018,1.825739402270386e-35,NCS with df = 1,(3) PE (w/ or w/out DVT)
GENDERM,0.24329463109925153,0.09005794637985609,2.7015342996281224,0.0069020360898974144,NCS with df = 1,(3) PE (w/ or w/out DVT)
diabetes,-0.08065655505955108,0.0996161907299869,-0.8096731512066491,0.41812805296323335,NCS with df = 1,(3) PE (w/ or w/out DVT)
raceethHispanic,-0.8479319784701115,0.12489277709821948,-6.789279557802385,1.1269488194359782e-11,NCS with df = 1,(3) PE (w/ or w/out DVT)
raceethOther,-0.457668789002793,0.24420443961258875,-1.8741214931589645,0.060913681536421155,NCS with df = 1,(3) PE (w/ or w/out DVT)
raceethUnknown,-0.8505036276350281,0.4558034994415573,-1.8659436109574645,0.06204925519589207,NCS with df = 1,(3) PE (w/ or w/out DVT)
raceethWhite,-0.24928442247339103,0.09736556615488717,-2.5602934622373006,0.010458380789161163,NCS with df = 1,(3) PE (w/ or w/out DVT)
insulin,0.21348510880924076,0.12281177006865883,1.738311472018442,0.08215594603992132,NCS with df = 1,(3) PE (w/ or w/out DVT)
elix_cat,0.22741692356364146,0.04062204756679519,5.598361904079252,2.163866683158255e-8,NCS with df = 1,(3) PE (w/ or w/out DVT)
util_count,0.0232030352425021,0.00683923793342577,3.392634598819947,6.922391294987469e-4,NCS with df = 1,(3) PE (w/ or w/out DVT)
dysl,-0.139182235233471,0.09172075581252748,-1.5174562616770446,0.12915152839756042,NCS with df = 1,(3) PE (w/ or w/out DVT)
"Smoking2Never, Self-Report",-0.08779584853856542,0.08288461265543559,-1.0592538919563588,0.28948416740141186,NCS with df = 1,(3) PE (w/ or w/out DVT)
Smoking2No Self-Report,-0.03314584726761139,0.1285622008676442,-0.2578195382773145,0.7965461847619687,NCS with df = 1,(3) PE (w/ or w/out DVT)
htn_dx,0.1945957570582142,0.0960432294725173,2.0261267569506045,0.0427517968014815,NCS with df = 1,(3) PE (w/ or w/out DVT)
ht_index,-0.03350643965533412,0.23909925441712984,-0.14013611099296513,0.8885524496437107,NCS with df = 1,(3) PE (w/ or w/out DVT)
oc_index,0.49367460001250035,0.1593259545376749,3.098519644492473,0.0019449007571871238,NCS with df = 1,(3) PE (w/ or w/out DVT)
surg_cont:age_over_65,0.6032368875845027,0.5382395934649377,1.1207590353974937,0.26239044551583623,NCS with df = 1,(3) PE (w/ or w/out DVT)
tt(surg_cont):age_over_65,-0.38716445709630315,2.3961201152838103,-0.161579736602831,0.8716368154544685,NCS with df = 1,(3) PE (w/ or w/out DVT)
surg_cont,0.6597881294862133,0.21807292796889946,3.025538913203886,0.0024819046563121054,NCS with df = 2,(3) PE (w/ or w/out DVT)
tt(surg_cont)1,-3.439656949931932,0.662123889235094,-5.194884229151632,2.0484727707960398e-7,NCS with df = 2,(3) PE (w/ or w/out DVT)
tt(surg_cont)2,1.8707518363130262,0.7067149789065823,2.6471093611280496,0.008118309423752412,NCS with df = 2,(3) PE (w/ or w/out DVT)
siteNC,0.18365688906277775,0.17936746663065048,1.0239141607600444,0.3058758210586449,NCS with df = 2,(3) PE (w/ or w/out DVT)
siteSC,0.2872310782676098,0.17849688919608594,1.6091657370682522,0.10758010619341703,NCS with df = 2,(3) PE (w/ or w/out DVT)
age,0.032814365700775276,0.004200065224221965,7.812822884638399,5.592115329942689e-15,NCS with df = 2,(3) PE (w/ or w/out DVT)
bmi,0.061970989211823084,0.0049756848991434136,12.45476561879786,1.3173793536788172e-35,NCS with df = 2,(3) PE (w/ or w/out DVT)
GENDERM,0.2420937232208037,0.09006361617987498,2.688030233399626,0.00718748886814834,NCS with df = 2,(3) PE (w/ or w/out DVT)
diabetes,-0.07823826339155932,0.09960724224741699,-0.7854676188827845,0.4321794485347002,NCS with df = 2,(3) PE (w/ or w/out DVT)
raceethHispanic,-0.8506197670718234,0.12487835105483584,-6.811587115674712,9.65278147718708e-12,NCS with df = 2,(3) PE (w/ or w/out DVT)
raceethOther,-0.4596104729682811,0.2441955815480222,-1.8821408235754526,0.0598168977958155,NCS with df = 2,(3) PE (w/ or w/out DVT)
raceethUnknown,-0.8546752538458547,0.45580387953138746,-1.8750942943367386,0.06077975236472726,NCS with df = 2,(3) PE (w/ or w/out DVT)
raceethWhite,-0.2500668162367668,0.09735895692127218,-2.56850344482408,0.010213869696895616,NCS with df = 2,(3) PE (w/ or w/out DVT)
insulin,0.21288392227049635,0.12279481526432742,1.7336556255428508,0.08297920437077354,NCS with df = 2,(3) PE (w/ or w/out DVT)
elix_cat,0.22575187560841353,0.04062978590611684,5.556314673428452,2.7552996583992587e-8,NCS with df = 2,(3) PE (w/ or w/out DVT)
util_count,0.024105451418315167,0.006826263020646594,3.531280782092083,4.135524988568664e-4,NCS with df = 2,(3) PE (w/ or w/out DVT)
dysl,-0.14129418530698717,0.091687558646514275,-1.541039890174443,0.12330707781861414,NCS with df = 2,(3) PE (w/ or w/out DVT)
"Smoking2Never, Self-Report",-0.08553112360764023,0.08287180515688405,-1.0320895441546354,0.30203017153593575,NCS with df = 2,(3) PE (w/ or w/out DVT)
Smoking2No Self-Report,-0.05891411187764615,0.12919411850237258,-0.45601233678887804,0.6483811068954743,NCS with df = 2,(3) PE (w/ or w/out DVT)
htn_dx,0.18845777251705068,0.09605952370452696,1.9618853524272608,0.04977583352677291,NCS with df = 2,(3) PE (w/ or w/out DVT)
ht_index,-0.034172417254588576,0.23905938465163845,-0.14294530752007592,0.8863333757408282,NCS with df = 2,(3) PE (w/ or w/out DVT)
oc_index,0.4906048461680936,0.1593045950475655,3.0796653795303754,0.0020723328124731817,NCS with df = 2,(3) PE (w/ or w/out DVT)
surg_cont:age_over_65,0.33607916770027496,0.618959065606034,0.5429747884397069,0.58714716112982,NCS with df = 2,(3) PE (w/ or w/out DVT)
tt(surg_cont)1:age_over_65,0.8144408511622776,1.8419183515302195,0.4421698988370796,0.6583662664375641,NCS with df = 2,(3) PE (w/ or w/out DVT)
tt(surg_cont)2:age_over_65,-0.8574486726911077,2.4877224491529324,-0.3446721610696838,0.7303408493142399,NCS with df = 2,(3) PE (w/ or w/out DVT)
surg_cont,1.5766520103078099,0.2660069894507886,5.927107455195237,3.0831723617417665e-9,NCS with df = 3,(3) PE (w/ or w/out DVT)
tt(surg_cont)1,-0.2345695069254028,0.7403327669862303,-0.3168433404349988,0.7513624762467903,NCS with df = 3,(3) PE (w/ or w/out DVT)
tt(surg_cont)2,-5.111478080602732,0.8191692770675202,-6.23983128237049,4.38043105310051e-10,NCS with df = 3,(3) PE (w/ or w/out DVT)
tt(surg_cont)3,-0.19170622373914756,0.7980780848967104,-0.2402098583673786,0.810167571522498,NCS with df = 3,(3) PE (w/ or w/out DVT)
siteNC,0.18785003268714656,0.17941541726533294,1.0470116534597462,0.295094203499709,NCS with df = 3,(3) PE (w/ or w/out DVT)
siteSC,0.2924217166980236,0.1785469756301638,1.6377858861285675,0.10146636681368451,NCS with df = 3,(3) PE (w/ or w/out DVT)
age,0.032759865806521946,0.004201899986943114,7.796441111953922,6.367751726666865e-15,NCS with df = 3,(3) PE (w/ or w/out DVT)
bmi,0.06194545638435277,0.004977940125943227,12.443993864352729,1.5077229153765504e-35,NCS with df = 3,(3) PE (w/ or w/out DVT)
GENDERM,0.24141910866609378,0.09005666286453087,2.6807467763851323,0.007345807939427594,NCS with df = 3,(3) PE (w/ or w/out DVT)
diabetes,-0.07942958267401333,0.09961399387814633,-0.7973737381835754,0.4252340067223564,NCS with df = 3,(3) PE (w/ or w/out DVT)
raceethHispanic,-0.8490571961081032,0.12488652789357783,-6.79862920708011,1.056192638149852e-11,NCS with df = 3,(3) PE (w/ or w/out DVT)
raceethOther,-0.4584697297440855,0.24420712044993503,-1.8773806795616204,0.06046593756956525,NCS with df = 3,(3) PE (w/ or w/out DVT)
raceethUnknown,-0.8558440813173477,0.4558024114331472,-1.8776646631297491,0.06042705370612717,NCS with df = 3,(3) PE (w/ or w/out DVT)
